line: cmpptgjc3qhcjxcbcqgqkxhrms -- first: 3, second: 3
line: 9sixonefour -- first: 9, second: 4
line: eighttwo2twofour9 -- first: 8, second: 9
line: 7eightseveneightthree -- first: 7, second: 3
line: tlnllks2jcfdlgsjbhpfnineone -- first: 2, second: 1
line: one44fivesevenjzsfzddg -- first: 1, second: 7
line: 787seveneight75five -- first: 7, second: 5
line: 7q7nine3 -- first: 7, second: 3
line: hlqphphn5dtzzbqvk3three8seven -- first: 5, second: 7
line: ninekkbvsfq8seven7321bpdcdh -- first: 9, second: 1
line: 9kxgfxntgdzs1ns5 -- first: 9, second: 5
line: nineblxtnrt79t8fourbcqdzpb -- first: 9, second: 4
line: 3mjqgthreeseven36gkvvvqppx -- first: 3, second: 6
line: zpcvkjjqeight94one82mrvfzdvlgjgkhj -- first: 8, second: 2
line: nine11 -- first: 9, second: 1
line: rnscpccv8 -- first: 8, second: 8
line: 7eightrcqnbtkn -- first: 7, second: 8
line: four31zqgrccc4eight -- first: 4, second: 8
line: two65fourfourt1 -- first: 2, second: 1
line: twomg2764threesix -- first: 2, second: 6
line: 546grjcrsix9 -- first: 5, second: 9
line: 4ffourfourff1 -- first: 4, second: 1
line: dpfkcrzjxr8four -- first: 8, second: 4
line: 641one -- first: 6, second: 1
line: kseven8 -- first: 7, second: 8
line: two4four -- first: 2, second: 4
line: ldzpzgch325hsttqvmp9foureightmvsknbd -- first: 3, second: 8
line: onexrbclqlnvp5kqtrsgdh8nine -- first: 1, second: 9
line: rk9qfzvszksjqsixg -- first: 9, second: 6
line: dcnhlcqzhthreebhrnfgjbfive1threetwo53 -- first: 3, second: 3
line: 1twoeightfivefjmpkdlg -- first: 1, second: 5
line: eight6bmnbcth -- first: 8, second: 6
line: nineczfgrphfeight7sixrnzphsqsq7cxfrsv -- first: 9, second: 7
line: 9f -- first: 9, second: 9
line: xcnqtvp451jxvvninefourdcvvnvxb -- first: 4, second: 4
line: threegqlsctbp871nine -- first: 3, second: 9
line: hfjgjhctwotwo9twobqfour -- first: 2, second: 4
line: twoeightmhhvprgq7two8five54 -- first: 2, second: 4
line: qqqvtjxnbgseven8nvmbxsvtblqml4seven1z -- first: 7, second: 1
line: 9mfbcd745rlxmjzrqgxql -- first: 9, second: 5
line: sixonepmqlqprf3 -- first: 6, second: 3
line: lzkjxckkone1two92bt -- first: 1, second: 2
line: threelftflq7 -- first: 3, second: 7
line: htqxfmfx665 -- first: 6, second: 5
line: fivegggb3 -- first: 5, second: 3
line: jbgkbzmtrxcng5sixvbxbjxttql -- first: 5, second: 6
line: ninesixmlfjxhscninehqcdvxf8nzfivetwonehhd -- first: 9, second: 1
line: 64sixbjtkh5txqngv -- first: 6, second: 5
line: vlcn6bkbf7dlnine -- first: 6, second: 9
line: 186 -- first: 1, second: 6
line: 4five9c7kbhbmkz2 -- first: 4, second: 2
line: 7tfourqjjzkktzplr47sjkkplrnrprll -- first: 7, second: 7
line: eightthreelrjdvhbfkd8 -- first: 8, second: 8
line: 46nineone -- first: 4, second: 1
line: two9lhktgj2nvldxljfzjb3fmdzpm9 -- first: 2, second: 9
line: four46twohssd3 -- first: 4, second: 3
line: 4sixx34kxqllszlseven -- first: 4, second: 7
line: phnthreebtjxspeight7f -- first: 3, second: 7
line: sixglcvfbsqonexkflggbeight8tzkktdm5 -- first: 6, second: 5
line: sevenninethree1eightone1six -- first: 7, second: 6
line: bcbrrhnpcmmbdz9qshthhb5ggjvb -- first: 9, second: 5
line: twoonectcxjbclv9pmqvvddxlkgqxcmfqgppzt -- first: 2, second: 9
line: jqzjrk8lr -- first: 8, second: 8
line: dfoursfivenine6 -- first: 4, second: 6
line: eighteightsevenmxsssjdvgdphfg9z -- first: 8, second: 9
line: 4seven2psg8hqg9oneightnzc -- first: 4, second: 8
line: threefive5twoeighteight561 -- first: 3, second: 1
line: onesix8onethreeninefoursix -- first: 1, second: 6
line: 4sdfsgbzdkseven1rtlcdtrxmone7 -- first: 4, second: 7
line: 3gmfbc -- first: 3, second: 3
line: 33szvbrpzjqsvjmvhntwo -- first: 3, second: 2
line: 1ninehrhqzxqqvf7bzckpjfbbzgt3seven -- first: 1, second: 7
line: rkgzrsmtg9fournvplkkxsmslmkr -- first: 9, second: 4
line: foursevenkmdvtxflrddnthreetwofive8 -- first: 4, second: 8
line: zfourvxngsmmqsldpkrrbfnjf2mvkdhfs7eightwotc -- first: 4, second: 2
line: 8sixnczfxtwotstrfourflsmzone -- first: 8, second: 1
line: rtnvpld4fivesdgtmdvghtjk4two -- first: 4, second: 2
line: ninenine3 -- first: 9, second: 3
line: ninefivetwofoureight41qsrbtfhkk -- first: 9, second: 1
line: 741zcshxvrflgpdheight -- first: 7, second: 8
line: eight8jgjrrtpfivefour -- first: 8, second: 4
line: 9fourninenine1two -- first: 9, second: 2
line: mcltnxsevenfzbqtfkkz4twommrcdgxqktbxph -- first: 7, second: 2
line: nine85jrthpqfvzzfzrbdtvfd -- first: 9, second: 5
line: 1mdpqzkc -- first: 1, second: 1
line: nineonefivetwosix42 -- first: 9, second: 2
line: sixtwoeightbqnzljxdv48sevenfour -- first: 6, second: 4
line: 3slzdjzm4 -- first: 3, second: 4
line: four952 -- first: 4, second: 2
line: zfmsfsh8gqgsvntwotdpgjxtzpk21bg2 -- first: 8, second: 2
line: 8fivefourninebljjv -- first: 8, second: 9
line: fcscqqsix6fourrprgzqqv -- first: 6, second: 4
line: eight4ljj3 -- first: 8, second: 3
line: f6gmftwoqdtpmtmnxb1llg -- first: 6, second: 1
line: fourninethree2ninedzzxxbpvmtgcrmv -- first: 4, second: 9
line: 54hjbkdthh84fivegpmdl4 -- first: 5, second: 4
line: deightwoone8threegfnhhfngtwoeightsix -- first: 8, second: 6
line: onenine9ddsjfrnctonedfz -- first: 1, second: 1
line: sone2fourtwojt -- first: 1, second: 2
line: ckhbpvnrklvjkqjsevenfive2six -- first: 7, second: 6
line: 29one8eight -- first: 2, second: 8
line: j4fiveeight -- first: 4, second: 8
line: ftjjcrdtwocq4 -- first: 2, second: 4
line: five72sevenjf59nineeight -- first: 5, second: 8
line: 6thfhvtr5eighteightsix -- first: 6, second: 6
line: seven8nine619 -- first: 7, second: 9
line: bzloneightqqhxqdvsgjthree1nskcvcxhlzp6 -- first: 1, second: 6
line: nine6rcq7lghfjkmksxpbz -- first: 9, second: 7
line: hjpstbxsrbx3mrfnsbbgpvnqx9four4 -- first: 3, second: 4
line: two6knbsevenone -- first: 2, second: 1
line: two149sixpvvpq6nine -- first: 2, second: 9
line: onedmvpc2kb -- first: 1, second: 2
line: sbzvkxclj33zgfrqrv -- first: 3, second: 3
line: rjxsixseveneightbpnmgfpfourcrlxfhf1 -- first: 6, second: 1
line: hdpfoureightfive2dvcxzmvkcpsix -- first: 4, second: 6
line: four31qklnqrzj8 -- first: 4, second: 8
line: threejdjql2jzsjxmxmmm -- first: 3, second: 2
line: 53dxnzlcpone2jnfjeightfbl -- first: 5, second: 8
line: 38four77hbvlfz -- first: 3, second: 7
line: five387sixeight8 -- first: 5, second: 8
line: 2pkvnlpzkpn224 -- first: 2, second: 4
line: one4two7one9 -- first: 1, second: 9
line: ninexvxscjhxgp5bmssbkxq -- first: 9, second: 5
line: 2vrgxknnljx3 -- first: 2, second: 3
line: 8xzqgnngtsxlzgszc3 -- first: 8, second: 3
line: cjlkeightrndmxlgteightone8 -- first: 8, second: 8
line: sbkhrnxh1nkrzmbzl2two5three -- first: 1, second: 3
line: 94zpvx8 -- first: 9, second: 8
line: geight7sixthreethree -- first: 8, second: 3
line: 3sixsevenjlp4xkfthone -- first: 3, second: 1
line: zvg1 -- first: 1, second: 1
line: 3eight3fiveeightsck -- first: 3, second: 8
line: 3one4one3 -- first: 3, second: 3
line: 6nine8 -- first: 6, second: 8
line: three9328skfxpseven -- first: 3, second: 7
line: sixrsix2jclzqqjkg -- first: 6, second: 2
line: 1vpdjgfxbxccrt5txkkzdmz1gxrdndmone8 -- first: 1, second: 8
line: sixfiveeightthreetwo4 -- first: 6, second: 4
line: 84threehb7fnkkzhsthree -- first: 8, second: 3
line: three6ninerjshsg -- first: 3, second: 9
line: rfnhdh4dseven -- first: 4, second: 7
line: four1one4mjbnjnrrthreerlvhfkfzseven -- first: 4, second: 7
line: 9rqkkjzk1six6fgfzfdnvnprf8six -- first: 9, second: 6
line: 5jfpcbrrqfivemzjrqgdlnine6msmqxkzgcj -- first: 5, second: 6
line: sevenonevg489fourhtvssdcb1 -- first: 7, second: 1
line: threeeightsevenbjmhkllzrpsntmmjr2 -- first: 3, second: 2
line: qvcrg4sdxkbvtr93 -- first: 4, second: 3
line: bgrsevenpfcttmm7 -- first: 7, second: 7
line: 98xxnkzdhrjsvccrf6fivezbkksix -- first: 9, second: 6
line: gcxgflt5r3 -- first: 5, second: 3
line: 51lhnzxkblsr -- first: 5, second: 1
line: 9eightfourrblfncg -- first: 9, second: 4
line: ppjxmqfqpsthree1ninesixthreetwoseven -- first: 3, second: 7
line: 7eight86onenpgmdxfs43 -- first: 7, second: 3
line: three4zhrtksksfsfslrkk -- first: 3, second: 4
line: 7three2seven1 -- first: 7, second: 1
line: eightninexvxqmzrzzmrpmhcdf41eight -- first: 8, second: 8
line: 37pmvml1zfdqvxjn8 -- first: 3, second: 8
